Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw
SPO3246	SPO3246				9.30E+06	9.46E+06	9.37E+06
SPO3247	SPO3247				3.99E+06	4.12E+06	3.99E+06
SPO3248	SPO3248				2.13E+06	2.34E+06	2.14E+06
SPO3249	SPO3249				3.11E+06	3.02E+06	2.86E+06
SPO3250	SPO3250				2.96E+06	3.00E+06	3.02E+06
SPO3251	SPO3251				1.66E+06	1.68E+06	1.68E+06
SPO3252	SPO3252				1.13E+06	1.16E+06	1.02E+06
SPO3253	SPO3253				7.06E+07	7.13E+07	7.33E+07
SPO3254	SPO3254				599198	577640	589477
SPO3255	SPO3255				2.15E+06	2.15E+06	2.12E+06
SPO3256	SPO3256				4.52E+07	4.48E+07	4.60E+07
SPO3257	SPO3257				4.54E+07	4.08E+07	4.34E+07
SPO3258	SPO3258				5.93E+06	6.41E+06	6.50E+06
SPO3259	SPO3259				1.39E+06	1.40E+06	1.39E+06
SPO3260	SPO3260				2.22E+06	2.26E+06	2.21E+06
SPO3261	SPO3261				1.17E+06	1.25E+06	1.27E+06
SPO3262	SPO3262				615376	547250	539815
SPO3270	SPO3270				160544	79277.2	146382
SPO3271	SPO3271				1.69E+06	1.65E+06	1.74E+06
SPO3272	SPO3272				3.89E+06	3.98E+06	3.87E+06
SPO3273	SPO3273				124055	120341	125085
SPO3274	SPO3274				47719.6	60604.1	45250.6
SPO3275	SPO3275					89169.9	88723.1
SPO3276	SPO3276				3.87E+06	3.98E+06	3.95E+06
SPO3277	SPO3277				179880	225468	190210
SPO3278	SPO3278				6.05E+06	6.19E+06	5.77E+06
SPO3279	SPO3279				465433	467371	505486
SPO3280	SPO3280				532925	527293	517856
SPO3281	SPO3281				528036	525250	560597
SPO3282	SPO3282				1.67E+06	1.66E+06	1.65E+06
SPO3284	SPO3284				1.33E+06	1.12E+06	1.07E+06
SPO3286	SPO3286				513709	499939	484263
SPO3287	SPO3287				1.67E+07	1.76E+07	1.63E+07
SPO3288	SPO3288				850984	820755	783828
SPO3289	SPO3289				444223	436824	408021
SPO3290	SPO3290				368915	356972	367802
SPO3291	SPO3291				1.02E+06	1.03E+06	954093
SPO3292	SPO3292				98334.4	67669.5	101942
SPO3293	SPO3293				67416.2	65119.6	75074.3
SPO3295	SPO3295				229340	210946	231155
SPO3296	SPO3296				1.04E+06	1.05E+06	976868
SPO3297	SPO3297				1.04E+06	1.06E+06	1.05E+06
SPO3298	SPO3298				1.29E+06	1.23E+06	1.21E+06
SPO3299	SPO3299				911356	896906	881607
SPO3300	SPO3300				1.05E+06	987387	1.28E+06
SPO3301	SPO3301				338585	355569	379444
SPO3302	SPO3302				2.53E+06	2.66E+06	2.61E+06
SPO3303	SPO3303				5.06E+06	5.25E+06	5.00E+06
SPO3304	SPO3304				2.71E+06	2.73E+06	2.69E+06
SPO3305	SPO3305				3.24E+06	3.31E+06	3.15E+06
SPO3306	SPO3306				1.70E+06	1.70E+06	1.78E+06
SPO3307	SPO3307				9.91E+06	9.81E+06	1.01E+07
SPO3309	SPO3309				7.86E+06	7.60E+06	7.81E+06
SPO3310	SPO3310				1.09E+06	1.09E+06	1.06E+06
SPO3311	SPO3311				290792	334404	244020
SPO3312	SPO3312				2.94E+06	2.80E+06	2.77E+06
SPO3313	SPO3313				1.26E+06	1.32E+06	1.26E+06
SPO3314	SPO3314				6.74E+06	6.58E+06	6.51E+06
SPO3315	SPO3315				500054	503017	488453
SPO3316	SPO3316						
SPO3316a	SPO3316a				34067.8	26481.3	31329.3
SPO3317	SPO3317				772928	830913	770641
SPO3318	SPO3318				9.26E+06	8.74E+06	8.88E+06
SPO3319	SPO3319				1.28E+06	1.24E+06	1.27E+06
SPO3320	SPO3320				6.41E+06	6.48E+06	6.37E+06
SPO3321	SPO3321				760103	782959	691566
SPO3322	SPO3322				2.50E+06	2.46E+06	2.51E+06
SPO3323	SPO3323				6.02E+06	5.99E+06	6.02E+06
SPO3324	SPO3324				2.97E+06	3.05E+06	2.86E+06
SPO3325	SPO3325				1.59E+07	1.55E+07	1.52E+07
SPO3326	SPO3326				4.01E+06	3.55E+06	3.72E+06
SPO3327	SPO3327				950995	906355	927717
SPO3328	SPO3328				1.50E+07	1.54E+07	1.47E+07
SPO3329	SPO3329				140309	150256	149682
SPO3330	SPO3330				3.46E+06	3.34E+06	3.35E+06
SPO3331	SPO3331				507638	512309	516468
SPO3332	SPO3332				5.33E+06	4.94E+06	4.80E+06
SPO3333	SPO3333				313014	317255	310453
SPO3334	SPO3334				314175	323545	283071
SPO3335	SPO3335				564343	596145	552735
SPO3336	SPO3336				411625	376245	358190
SPO3337	SPO3337				2.09E+07	1.97E+07	2.05E+07
SPO3338	SPO3338				751377	692868	694370
SPO3339	SPO3339				33656.4	27212.6	34139.3
SPO3340	SPO3340				582467	557349	592522
SPO3341	SPO3341				9.45E+06	9.12E+06	9.15E+06
SPO3342	SPO3342				9.74E+06	9.83E+06	9.93E+06
SPO3343	SPO3343				84827.8	94084.2	71831.6
SPO3344	SPO3344				2.50E+06	2.45E+06	2.51E+06
SPO3346	SPO3346				3.91E+06	3.75E+06	3.84E+06
SPO3347	SPO3347				3.79E+06	3.33E+06	3.15E+06
SPO3348	SPO3348				2.42E+07	2.51E+07	2.48E+07
SPO3349	SPO3349				2.98E+06	2.86E+06	2.92E+06
SPO3350	SPO3350				4.25E+06	4.67E+06	4.20E+06
SPO3351	SPO3351				178625	221795	197217
SPO3352	SPO3352				530343	504784	540485
SPO3353	SPO3353				1.01E+07	1.02E+07	9.65E+06
SPO3354	SPO3354				4.95E+07	4.76E+07	5.06E+07
SPO3355	SPO3355				6.64E+07	6.35E+07	6.53E+07
SPO3357	SPO3357				279106	251772	257709
SPO3358	SPO3358				1.83E+06	1.90E+06	1.85E+06
SPO3359	SPO3359				3.16E+06	3.17E+06	3.30E+06
SPO3360	SPO3360				5.93E+06	5.92E+06	5.99E+06
SPO3361	SPO3361				2.28E+06	2.22E+06	2.32E+06
SPO3362	SPO3362				2.29E+06	2.35E+06	2.33E+06
SPO3363	SPO3363				156398	146655	159182
SPO3364	SPO3364				196290	184537	213722
SPO3365	SPO3365				1.93E+06	1.82E+06	1.80E+06
SPO3366	SPO3366				2.80E+06	2.80E+06	2.77E+06
SPO3367	SPO3367				3.30E+06	3.22E+06	3.33E+06
SPO3368	SPO3368				4.68E+06	4.78E+06	4.66E+06
SPO3369	SPO3369				2.44E+06	2.42E+06	2.34E+06
SPO3370	SPO3370				1.00E+07	1.04E+07	1.03E+07
SPO3371	SPO3371				7.66E+06	7.21E+06	7.26E+06
SPO3372	SPO3372				9.75E+06	1.01E+07	1.03E+07
SPO3373	SPO3373				420904	388780	262931
SPO3374	SPO3374				2.49E+07	2.48E+07	2.52E+07
SPO3375	SPO3375				2.57E+06	2.56E+06	2.53E+06
SPO3376	SPO3376				2.30E+06	2.30E+06	2.30E+06
SPO3377	SPO3377				1.39E+06	1.54E+06	1.49E+06
SPO3379	SPO3379				590722	573727	597886
SPO3380	SPO3380				488878	512694	507660
SPO3382	SPO3382				3.67E+07	3.68E+07	3.59E+07
SPO3383	SPO3383				9.10E+07	9.29E+07	9.64E+07
SPO3384	SPO3384				2.56E+06	2.96E+06	2.70E+06
SPO3385	SPO3385				1.40E+06	1.34E+06	1.21E+06
SPO3387	SPO3387				3.72E+06	3.93E+06	3.15E+06
SPO3388	SPO3388				547362	600241	532867
SPO3389	SPO3389				5.33E+07	5.41E+07	5.23E+07
SPO3390	SPO3390				577227	619328	661611
SPO3391	SPO3391				1.37E+06	1.38E+06	1.44E+06
SPO3392	SPO3392				1.16E+06	1.15E+06	1.14E+06
SPO3393	SPO3393				2.85E+06	2.52E+06	2.52E+06
SPO3394	SPO3394				502381	452182	517363
SPO3395	SPO3395				140232	125250	113556
SPO3396	SPO3396				1.23E+06	1.24E+06	1.22E+06
SPO3398	SPO3398				246492	290724	253461
SPO3399	SPO3399				156665	182644	163439
SPO3400	SPO3400				1.69E+06	1.66E+06	1.73E+06
SPO3401	SPO3401				104913	101149	76832.1
SPO3403	SPO3403				196991	203972	172760
SPO3405	SPO3405				2.49E+06	2.52E+06	2.42E+06
SPO3406	SPO3406				864677	827808	825881
SPO3408	SPO3408				1.14E+07	1.09E+07	1.14E+07
SPO3409	SPO3409				139339	107617	92000.6
SPO3410	SPO3410				115493	231480	273920
SPO3411	SPO3411				3.28E+06	3.20E+06	3.19E+06
SPO3412	SPO3412				2.49E+06	2.48E+06	2.39E+06
SPO3413	SPO3413				486931		
SPO3414	SPO3414				4.28E+06	4.43E+06	4.50E+06
SPO3415	SPO3415				6.24E+06	6.06E+06	6.29E+06
SPO3416	SPO3416				4.79E+06	4.96E+06	4.76E+06
SPO3417	SPO3417				6.60E+06	6.65E+06	6.46E+06
SPO3418	SPO3418				2.34E+06	2.31E+06	2.21E+06
SPO3419	SPO3419				3.83E+06	3.91E+06	3.82E+06
SPO3420	SPO3420				1.07E+06	1.07E+06	1.04E+06
SPO3421	SPO3421				199012	233150	157125
SPO3422	SPO3422				1.76E+06	1.76E+06	1.85E+06
SPO3423	SPO3423				1.19E+07	1.20E+07	1.18E+07
SPO3424	SPO3424				445810	468094	457124
SPO3425	SPO3425				7.24E+06	6.95E+06	6.86E+06
SPO3426	SPO3426				3.83E+06	3.98E+06	3.75E+06
SPO3427	SPO3427				2.35E+06	2.42E+06	2.26E+06
SPO3428	SPO3428				1.10E+06	1.07E+06	1.08E+06
SPO3429	SPO3429				3.66E+06	3.73E+06	3.69E+06
SPO3430	SPO3430				5.12E+08	5.00E+08	5.32E+08
SPO3431	SPO3431				2.47E+07	2.49E+07	2.48E+07
SPO3432	SPO3432				1.30E+07	1.26E+07	1.25E+07
SPO3433	SPO3433				3.07E+06	3.06E+06	3.10E+06
SPO3434	SPO3434				2.96E+06	2.75E+06	2.81E+06
SPO3435	SPO3435				9.76E+06	9.61E+06	9.58E+06
SPO3436	SPO3436				693334	733817	740304
SPO3437	SPO3437				1.81E+06	1.85E+06	1.86E+06
SPO3438	SPO3438				503376	484096	556348
SPO3439	SPO3439				2.66E+06	2.59E+06	2.77E+06
SPO3440	SPO3440				4.77E+06	4.76E+06	4.95E+06
SPO3441	SPO3441				6.58E+06	6.43E+06	6.70E+06
SPO3442	SPO3442				5.14E+06	5.32E+06	5.01E+06
SPO3443	SPO3443				1.35E+06	1.29E+06	1.35E+06
SPO3444	SPO3444				929926	882713	930037
SPO3445	SPO3445				1.37E+06	1.41E+06	1.48E+06
SPO3446	SPO3446				1.66E+07	1.70E+07	1.64E+07
SPO3447	SPO3447				1.62E+06	1.63E+06	1.55E+06
SPO3448	SPO3448				588121	589402	611469
SPO3449	SPO3449				1.69E+06	1.57E+06	1.68E+06
SPO3450	SPO3450				1.32E+06	1.28E+06	1.29E+06
SPO3451	SPO3451				1.97E+06	2.01E+06	1.87E+06
SPO3452	SPO3452				1.15E+06	1.26E+06	1.30E+06
SPO3452a	SPO3452a				916159	800352	781617
SPO3453	SPO3453				539564	596065	595750
SPO3454	SPO3454				1.32E+06	1.25E+06	1.35E+06
SPO3455	SPO3455				1.13E+06	1.13E+06	1.13E+06
SPO3456	SPO3456						19549.3
SPO3458	SPO3458				24185.9	17815.5	22745.7
SPO3459	SPO3459				40577.1	18531.5	42866.3
SPO3460	SPO3460					125089	15842.2
SPO3462	SPO3462				29583.6	24061.4	
SPO3463	SPO3463				58773.1	62123.6	61870.1
SPO3464	SPO3464				884641	895261	791983
SPO3465	SPO3465				863616	890288	860690
SPO3466	SPO3466				81262.5	73212.6	73320.9
SPO3467	SPO3467				534969	511780	551049
SPO3468	SPO3468				4.38E+06	4.32E+06	4.23E+06
SPO3469	SPO3469				1.10E+07	1.03E+07	1.08E+07
SPO3470	SPO3470				4.12E+06	4.11E+06	4.04E+06
SPO3471	SPO3471				9.66E+06	9.60E+06	9.61E+06
SPO3472	SPO3472				1.75E+07	1.69E+07	1.70E+07
SPO3473	SPO3473				4.16E+07	4.08E+07	4.02E+07
SPO3474	SPO3474				9.25E+06	8.64E+06	9.59E+06
SPO3475	SPO3475				1.92E+06	1.65E+06	2.28E+06
SPO3476	SPO3476				518546	492600	473586
SPO3477	SPO3477				1.04E+06	1.09E+06	1.17E+06
SPO3478	SPO3478				2.72E+06	3.26E+06	2.86E+06
SPO3479	SPO3479				691634	711516	691398
SPO3480	SPO3480				523296	579540	575994
SPO3481	SPO3481				1.46E+06	1.85E+06	1.78E+06
SPO3482	SPO3482				362152	347877	336115
SPO3483	SPO3483				267897	291625	2.07E+06
SPO3484	SPO3484				571522	530144	569394
SPO3485	SPO3485				485869	557234	514600
SPO3486	SPO3486				790652	815396	776277
SPO3487	SPO3487				274900	243555	262117
SPO3488	SPO3488				3.84E+06	3.95E+06	3.82E+06
SPO3489	SPO3489				1.18E+07	1.13E+07	1.13E+07
SPO3490	SPO3490				290703	277116	268392
SPO3491	SPO3491				1.85E+06	2.04E+06	1.92E+06
SPO3492	SPO3492				6.43E+06	6.56E+06	6.53E+06
SPO3494	SPO3494				4.83E+06	4.88E+06	5.00E+06
SPO3495	SPO3495				513848	516541	538495
SPO3496	SPO3496				1.03E+07	1.11E+07	1.04E+07
SPO3498a	SPO3498a				1.02E+07	1.02E+07	1.07E+07
SPO3499	SPO3499				8.83E+07	8.72E+07	8.78E+07
SPO3500	SPO3500				1.08E+08	1.09E+08	1.10E+08
SPO3501	SPO3501				1.42E+08	1.43E+08	1.37E+08
SPO3502	SPO3502				5.59E+06	5.03E+06	4.95E+06
SPO3503	SPO3503				2.70E+06	2.53E+06	2.71E+06
SPO3505	SPO3505				183998	183767	194066
SPO3506	SPO3506				177068	199731	230228
SPO3507	SPO3507				4.26E+07	4.27E+07	4.29E+07
SPO3508	SPO3508				3.57E+07	3.55E+07	3.60E+07
SPO3509	SPO3509				1.61E+08	1.66E+08	1.53E+08
SPO3510	SPO3510				2.59E+07	2.63E+07	2.46E+07
SPO3511	SPO3511				1.36E+06	1.41E+06	1.45E+06
SPO3512	SPO3512				1.52E+06	1.44E+06	1.38E+06
SPO3513	SPO3513				8.48E+07	8.70E+07	8.65E+07
SPO3514	SPO3514				4.49E+07	4.56E+07	4.70E+07
SPO3516	SPO3516				2.82E+07	2.60E+07	2.87E+07
SPO3517	SPO3517				1.99E+06	1.57E+06	1.25E+06
SPO3518	SPO3518				1.38E+06	1.39E+06	1.33E+06
SPO3520	SPO3520				1.30E+06	1.32E+06	1.24E+06
SPO3521	SPO3521				1.71E+06	1.75E+06	1.66E+06
SPO3522	SPO3522				2.28E+06	2.11E+06	2.17E+06
SPO3523	SPO3523				5.59E+06	5.88E+06	5.64E+06
SPO3524	SPO3524				382566	326125	322243
SPO3525	SPO3525				3.31E+06	3.40E+06	2.94E+06
SPO3526	SPO3526				1.17E+06	1.08E+06	1.01E+06
SPO3527	SPO3527				1.36E+07	1.32E+07	1.34E+07
SPO3529	SPO3529				1.57E+06	1.43E+06	1.43E+06
SPO3530	SPO3530				869088	880681	702928
SPO3531	SPO3531				4.63E+06	4.58E+06	4.80E+06
SPO3532	SPO3532				2.84E+06	2.80E+06	2.52E+06
SPO3533	SPO3533				2.38E+06	2.41E+06	2.47E+06
SPO3534	SPO3534				2.49E+06	2.46E+06	2.44E+06
SPO3535	SPO3535				3.70E+06	3.75E+06	3.97E+06
SPO3536	SPO3536				1.11E+06	1.12E+06	1.12E+06
SPO3537	SPO3537				4.72E+06	4.64E+06	4.71E+06
SPO3538	SPO3538				4.87E+06	4.82E+06	4.69E+06
SPO3539	SPO3539				4.30E+06	4.19E+06	4.01E+06
SPO3540	SPO3540				5.29E+06	5.08E+06	5.83E+06
SPO3541	SPO3541				3.57E+06	3.51E+06	3.42E+06
SPO3542	SPO3542				1.82E+06	1.69E+06	1.86E+06
SPO3543	SPO3543				168846	105791	165104
SPO3544	SPO3544				346941	316942	369597
SPO3545	SPO3545				1.01E+06	881517	919216
SPO3546	SPO3546				1.60E+06	1.60E+06	1.58E+06
SPO3547	SPO3547					189641	
SPO3548	SPO3548				1.45E+06	1.53E+06	1.37E+06
SPO3550	SPO3550				5.17E+06	5.35E+06	5.31E+06
SPO3551	SPO3551				1.05E+06	1.02E+06	996393
SPO3552	SPO3552				1.08E+06	1.15E+06	1.15E+06
SPO3553	SPO3553				1.05E+06	1.17E+06	1.13E+06
SPO3554	SPO3554				327718	303610	337837
SPO3555	SPO3555				3.49E+06	3.53E+06	3.45E+06
SPO3556	SPO3556				1.01E+07	1.05E+07	1.03E+07
SPO3557	SPO3557				288049	293242	332378
SPO3558	SPO3558				282387	257041	242523
SPO3559	SPO3559				784524	783596	784972
SPO3560	SPO3560					13231.1	
SPO3561	SPO3561				1.33E+06	1.39E+06	1.35E+06
SPO3562	SPO3562				520438	510727	497350
SPO3563	SPO3563				178199	146507	188220
SPO3564	SPO3564				46707.4	25331.7	
SPO3565	SPO3565				2.52E+06	2.41E+06	2.49E+06
SPO3566	SPO3566				2.41E+07	2.42E+07	2.24E+07
SPO3567	SPO3567				2.04E+06	1.95E+06	1.93E+06
SPO3568	SPO3568				5.73E+06	5.23E+06	5.49E+06
SPO3569	SPO3569				655968	680510	716803
SPO3570	SPO3570				7.06E+06	5.89E+06	6.61E+06
SPO3571	SPO3571				1.70E+06	1.85E+06	1.76E+06
SPO3572	SPO3572				97712.5	84591	100362
SPO3573	SPO3573				9.86E+06	9.76E+06	9.94E+06
SPO3574	SPO3574				1.29E+06	1.33E+06	1.23E+06
SPO3575	SPO3575				149202	136735	136713
SPO3576	SPO3576				2.39E+07	2.22E+07	2.31E+07
SPO3577	SPO3577				209977	194852	214116
SPO3578	SPO3578				1.28E+06	1.36E+06	1.38E+06
SPO3579	SPO3579				436795	397887	409374
SPO3580	SPO3580				1.62E+06	1.60E+06	1.61E+06
SPO3581	SPO3581				4.74E+06	4.66E+06	4.77E+06
SPO3582	SPO3582				8.88E+06	9.33E+06	9.08E+06
SPO3583	SPO3583				480392	445975	442149
SPO3584	SPO3584				368904	343082	320158
SPO3585	SPO3585				3.82E+06	3.76E+06	3.93E+06
SPO3586	SPO3586				1.05E+07	1.02E+07	1.01E+07
SPO3587	SPO3587				2.75E+06	2.54E+06	2.63E+06
SPO3590	SPO3590				183716	190909	196339
SPO3591	SPO3591					77476.6	89889.6
SPO3592	SPO3592				1.98E+06	1.91E+06	1.81E+06
SPO3593	SPO3593				4.58E+06	4.44E+06	4.46E+06
SPO3594	SPO3594				8.97E+06	9.25E+06	9.06E+06
SPO3595	SPO3595				105961	122356	133172
SPO3596	SPO3596				939225	953489	885869
SPO3597	SPO3597				510044	553828	511445
SPO3598	SPO3598				6.78E+07	6.49E+07	6.13E+07
SPO3599	SPO3599				7.04E+07	6.72E+07	7.09E+07
SPO3600	SPO3600				2.38E+07	2.32E+07	2.32E+07
SPO3601	SPO3601				3.27E+06	3.12E+06	3.11E+06
SPO3602	SPO3602				915436	874483	935682
SPO3603	SPO3603				883900	895634	929021
SPO3604	SPO3604				2.77E+07	2.87E+07	2.86E+07
SPO3605	SPO3605				1.70E+06	1.62E+06	1.63E+06
SPO3606	SPO3606				7.07E+06	7.43E+06	7.34E+06
SPO3607	SPO3607				1.66E+07	1.64E+07	1.63E+07
SPO3608	SPO3608				1.32E+07	1.32E+07	1.34E+07
SPO3609	SPO3609				800445	771315	764898
SPO3610	SPO3610				1.52E+06	1.55E+06	1.47E+06
SPO3611	SPO3611				8.36E+06	8.01E+06	8.20E+06
SPO3612	SPO3612				952574	918177	878134
SPO3615	SPO3615				2.57E+06	2.47E+06	2.53E+06
SPO3616	SPO3616				1.51E+07	1.57E+07	1.58E+07
SPO3617	SPO3617				4.31E+07	4.26E+07	4.44E+07
SPO3618	SPO3618				390558	397355	435412
SPO3619	SPO3619				907550	1.01E+06	944860
SPO3620	SPO3620				8.41E+06	8.37E+06	8.62E+06
SPO3621	SPO3621				1.63E+06	1.66E+06	1.65E+06
SPO3622	SPO3622				505343	511863	510716
SPO3623	SPO3623				2.02E+07	2.10E+07	2.05E+07
SPO3625	SPO3625				1.77E+07	1.71E+07	1.21E+07
SPO3626	SPO3626				7.89E+06	7.78E+06	7.82E+06
SPO3627	SPO3627				2.14E+06	2.14E+06	2.17E+06
SPO3628	SPO3628				2.28E+06	2.09E+06	2.27E+06
SPO3629	SPO3629				4.19E+06	4.46E+06	4.36E+06
SPO3630	SPO3630				872517	875921	964390
SPO3631	SPO3631				5.36E+06	5.22E+06	5.03E+06
SPO3632	SPO3632				879283	889213	819799
SPO3633	SPO3633				3.81E+06	3.67E+06	3.60E+06
SPO3634	SPO3634				1.10E+06	1.13E+06	1.18E+06
SPO3635	SPO3635				719157	758727	778086
SPO3636	SPO3636				864399	834778	835504
SPO3637	SPO3637				1.09E+06	1.08E+06	1.09E+06
SPO3638	SPO3638				1.56E+06	1.70E+06	1.63E+06
SPO3639	SPO3639				675264	641642	669960
SPO3640	SPO3640				3.83E+06	3.70E+06	3.65E+06
SPO3642	SPO3642				2.25E+06	2.26E+06	2.32E+06
SPO3644	SPO3644				1.20E+06	1.16E+06	1.21E+06
SPO3645	SPO3645				1.67E+06	1.61E+06	1.52E+06
SPO3646	SPO3646				283221	265763	254555
SPO3647	SPO3647				1.99E+06	2.09E+06	1.98E+06
SPO3648	SPO3648				5.99E+06	5.97E+06	5.94E+06
SPO3649	SPO3649				3.88E+06	3.78E+06	3.78E+06
SPO3650	SPO3650				979183	993822	954539
SPO3651	SPO3651				643383	610803	611262
SPO3652	SPO3652				4.68E+06	4.65E+06	4.59E+06
SPO3653	SPO3653				9.40E+06	9.76E+06	9.39E+06
SPO3654	SPO3654				5.87E+06	5.41E+06	5.69E+06
SPO3655	SPO3655				1.96E+06	1.89E+06	1.91E+06
SPO3656	SPO3656				1.61E+06	1.56E+06	1.50E+06
SPO3657	SPO3657				889936	847084	908654
SPO3658	SPO3658				1.96E+06	2.01E+06	2.00E+06
SPO3659	SPO3659				2.63E+06	2.49E+06	2.53E+06
SPO3660	SPO3660				565440	586896	552209
SPO3661	SPO3661				548701	575263	620031
SPO3662	SPO3662				48213.5	49869.7	37516.3
SPO3663	SPO3663				417308	458053	506602
SPO3664	SPO3664				419958	442020	470036
SPO3665	SPO3665				6.34E+06	5.74E+06	6.05E+06
SPO3666	SPO3666				342028	420493	386911
SPO3667	SPO3667				105749	103207	120923
SPO3668	SPO3668				151329	195653	171827
SPO3671	SPO3671				4.43E+06	4.33E+06	4.47E+06
SPO3672	SPO3672				1.11E+06	1.07E+06	966798
SPO3673	SPO3673				6.71E+06	7.71E+06	7.55E+06
SPO3673a	SPO3673a				1.38E+06	1.39E+06	1.11E+06
SPO3675	SPO3675				668074	652379	667048
SPO3676	SPO3676				401163	384841	376866
SPO3677	SPO3677				272402	268422	280488
SPO3678	SPO3678				680689	664793	742144
SPO3679	SPO3679				2.47E+06	2.42E+06	2.63E+06
SPO3680	SPO3680				1.87E+06	1.77E+06	1.91E+06
SPO3681	SPO3681				2.06E+06	1.88E+06	2.01E+06
SPO3682	SPO3682				2.72E+06	2.54E+06	2.99E+06
SPO3684	SPO3684				9.41E+06	9.51E+06	9.47E+06
SPO3685	SPO3685				2.04E+06	2.00E+06	2.00E+06
SPO3686	SPO3686				4.65E+06	4.72E+06	4.59E+06
SPO3687	SPO3687				813758	799123	822236
SPO3688	SPO3688				927385	950014	979027
SPO3689	SPO3689				4.50E+06	4.06E+06	3.62E+06
SPO3690	SPO3690				894278	858873	917344
SPO3691	SPO3691				9.40E+06	9.11E+06	8.69E+06
SPO3692	SPO3692				1.87E+06	1.89E+06	1.89E+06
SPO3693	SPO3693				2.51E+06	2.50E+06	2.40E+06
SPO3694	SPO3694				131994	156313	171152
SPO3695	SPO3695				459907	517687	543567
SPO3696	SPO3696				360555	389890	371461
SPO3697	SPO3697				344445	381424	360672
SPO3698	SPO3698				494440	499244	489696
SPO3699	SPO3699				8298.01		
SPO3700	SPO3700				1.78E+06	1.84E+06	1.84E+06
SPO3701	SPO3701				1.92E+06	1.85E+06	1.88E+06
SPO3703	SPO3703				966183	989087	983003
SPO3704	SPO3704				999293	978556	1.00E+06
SPO3705	SPO3705				776779	830538	781817
SPO3706	SPO3706				301902	336440	311576
SPO3707	SPO3707				269324	294176	281224
SPO3708	SPO3708				196135	258041	242068
SPO3709	SPO3709					46369.7	65437.2
SPO3710	SPO3710				690704	661091	680941
SPO3711	SPO3711				555308	623439	653147
SPO3712	SPO3712				3.07E+07	3.02E+07	3.11E+07
SPO3713	SPO3713				1.23E+07	1.29E+07	1.28E+07
SPO3714	SPO3714				103004	264938	80370.9
SPO3715	SPO3715				1.79E+07	1.65E+07	1.73E+07
SPO3716	SPO3716						
SPO3717	SPO3717				7.84E+06	7.91E+06	8.07E+06
SPO3718	SPO3718				4.09E+06	4.30E+06	4.26E+06
SPO3719	SPO3719				2.41E+07	2.33E+07	2.24E+07
SPO3720	SPO3720				4.70E+07	4.61E+07	4.43E+07
SPO3722	SPO3722				424227	409386	438155
SPO3723	SPO3723				34897.2	33532.6	27494.1
SPO3724	SPO3724				117737	84724.7	102777
SPO3725	SPO3725				2.79E+06	2.68E+06	2.89E+06
SPO3726	SPO3726				3.27E+07	3.37E+07	3.25E+07
SPO3727	SPO3727				1.04E+07	1.00E+07	1.08E+07
SPO3728	SPO3728				8.88E+06	8.82E+06	9.22E+06
SPO3729	SPO3729				9.68E+06	9.79E+06	9.73E+06
SPO3730	SPO3730				5.82E+06	5.44E+06	5.24E+06
SPO3731	SPO3731				2.25E+06	2.26E+06	2.21E+06
SPO3732	SPO3732				1.03E+06	928506	1.03E+06
SPO3733	SPO3733				1.09E+06	1.14E+06	1.24E+06
SPO3734	SPO3734				347326	438812	439649
SPO3735	SPO3735				838308	195257	142197
SPO3736	SPO3736				1.16E+07	1.10E+07	1.17E+07
SPO3737	SPO3737				8.46E+06	8.94E+06	8.54E+06
SPO3738	SPO3738				999686	1.03E+06	1.00E+06
SPO3739	SPO3739				1.11E+06	1.16E+06	1.15E+06
SPO3740	SPO3740				7.53E+06	7.46E+06	7.27E+06
SPO3741	SPO3741				4.56E+06	4.39E+06	4.60E+06
SPO3742	SPO3742				224771	192352	165631
SPO3744	SPO3744				1.09E+08	1.02E+08	1.00E+08
SPO3745	SPO3745				5.65E+06	5.60E+06	5.58E+06
SPO3746	SPO3746				8.93E+06	9.07E+06	8.85E+06
SPO3747	SPO3747				1.04E+06	1.07E+06	1.11E+06
SPO3748	SPO3748				511865	527735	525294
SPO3749	SPO3749				989812	919346	1.03E+06
SPO3751	SPO3751				1.32E+06	1.35E+06	1.33E+06
SPO3752	SPO3752				485167	446272	474279
SPO3753	SPO3753				3.72E+06	3.44E+06	3.31E+06
SPO3754	SPO3754				1.04E+06	1.02E+06	1.03E+06
SPO3755	SPO3755				4.70E+06	4.63E+06	4.68E+06
SPO3756	SPO3756				1.29E+06	1.43E+06	1.22E+06
SPO3757	SPO3757				6.40E+06	6.32E+06	6.30E+06
SPO3758	SPO3758				3.87E+06	3.70E+06	4.12E+06
SPO3759	SPO3759				8.12E+06	8.95E+06	8.68E+06
SPO3760	SPO3760				2.27E+06	2.40E+06	2.42E+06
SPO3761	SPO3761				1.05E+07	9.00E+06	1.01E+07
SPO3762	SPO3762				8.36E+06	8.39E+06	7.65E+06
SPO3763	SPO3763				1.33E+06	1.32E+06	1.31E+06
SPO3764	SPO3764				7.54E+06	6.98E+06	7.36E+06
SPO3765	SPO3765				175636	214246	150565
SPO3766	SPO3766				744638	763820	753761
SPO3768	SPO3768				1.16E+07	1.16E+07	1.19E+07
